,N,V,A,S,L,R,Unknown
N,47117,65,15,218,4,1,38
V,149,3181,0,50,3,3,27
A,78,0,416,0,0,12,3
S,871,52,0,1490,1,0,24
L,10,3,0,0,1597,0,4
R,6,0,16,0,0,1428,1
Unknown,0,0,0,0,0,0,0
