,N,V,A,S,L,R
N,47324,104,20,5,2,3
V,139,3265,1,0,3,5
A,60,0,431,0,0,18
S,0,1,0,2437,0,0
L,8,4,1,0,1600,1
R,1,1,7,0,0,1442
